scene,condition,jod,jod_low,jod_high,CIHigh,CILow
Bicycle_0,Pleno5x5_R1,2.76940434888825,2.60634370284207,3.45119400772771,0.68178965883946,-0.16306064604618
Bicycle_0,Pleno5x5_R2,1.89405703789636,1.74677315639757,2.14309489966169,0.24903786176533,-0.14728388149879
Bicycle_0,Pleno5x5_R3,-0.226640653164295,-0.582217047049642,0.103908896410064,0.330549549574359,-0.355576393885347
Bicycle_0,Pleno5x5_R4,-1.225688563944,-1.59966563492638,-1.04194863277496,0.18373993116904,-0.37397707098238
Bicycle_0,VVC5x5_R1,0.254868248416886,0.0448928784334179,0.582893247436024,0.328024999019138,-0.209975369983468
Bicycle_0,VVC5x5_R2,-0.883078316561015,-1.14698046396696,-0.664577852679466,0.218500463881549,-0.263902147405945
Bicycle_0,VVC5x5_R3,-1.18447719766391,-1.48806971865699,-0.969447203921105,0.215029993742805,-0.30359252099308
Bicycle_0,VVC5x5_R4,-1.39844490386827,-1.88821469145859,-1.18121321021713,0.21723169365114,-0.48976978759032
Bicycle_1,Pleno5x5_R1,3.15122219281174,2.84528541053975,4.09414751226656,0.94292531945482,-0.30593678227199
Bicycle_1,Pleno5x5_R2,2.0860661972464,1.97611928787365,2.33949330751112,0.25342711026472,-0.10994690937275
Bicycle_1,Pleno5x5_R3,-0.727352307223063,-1.03946719242598,-0.404146869812699,0.323205437410364,-0.312114885202917
Bicycle_1,Pleno5x5_R4,-1.43239274834542,-1.78566691079145,-1.21911729123028,0.21327545711514,-0.35327416244603
Bicycle_1,VVC5x5_R1,0.724797337058403,0.302118345311079,0.977211376601794,0.252414039543391,-0.422678991747324
Bicycle_1,VVC5x5_R2,-0.637683403665981,-0.976141926687332,-0.445197761166201,0.19248564249978,-0.338458523021351
Bicycle_1,VVC5x5_R3,-1.45158156891026,-1.90729302866093,-1.05682159885166,0.3947599700586,-0.45571145975067
Bicycle_1,VVC5x5_R4,-1.71307569897183,-2.06039108559598,-1.37796002870694,0.33511567026489,-0.34731538662415
Bicycle_2,Pleno5x5_R1,2.84742507151847,2.56108778755703,3.19560670643742,0.34818163491895,-0.28633728396144
Bicycle_2,Pleno5x5_R2,2.16679074937803,1.77568414606518,2.39725546464587,0.23046471526784,-0.39110660331285
