scene,condition,jod,jod_low,jod_high,CIHigh,CILow
Bicycle_0,VVC3x3_R1,1.75370180727221,1.26678834800869,2.33993433534066,0.58623252806845,-0.48691345926352
Bicycle_0,VVC3x3_R2,-0.198811814763365,-0.446741953654966,-0.00657112131721393,0.192240693446151,-0.247930138891601
Bicycle_0,VVC3x3_R3,-0.626749863250866,-0.819928931685669,-0.408452397368052,0.218297465882814,-0.193179068434803
Bicycle_0,VVC3x3_R4,-0.949626336738857,-1.19380636676782,-0.793122212990165,0.156504123748692,-0.244180030028963
Bicycle_0,VVC5x5_R1,1.46195961932872,1.1643380738955,1.79922031466269,0.33726069533397,-0.29762154543322
Bicycle_0,VVC5x5_R2,-0.096046636536433,-0.360268634016251,0.241923410511079,0.337970047047512,-0.264221997479818
Bicycle_0,VVC5x5_R3,-0.535368784570027,-0.893591585311625,-0.201745370880239,0.333623413689788,-0.358222800741598
Bicycle_0,VVC5x5_R4,-0.809057990741377,-1.0727424484055,-0.569012136820493,0.240045853920884,-0.263684457664123
Bicycle_1,VVC3x3_R1,1.71501561519129,1.29734670657981,2.21421676766624,0.49920115247495,-0.41766890861148
Bicycle_1,VVC3x3_R2,0.549889534180872,0.239032228519523,0.99325171436379,0.443362180182918,-0.310857305661349
Bicycle_1,VVC3x3_R3,0.546175780720225,0.230442612368048,1.00784919960448,0.461673418884255,-0.315733168352177
Bicycle_1,VVC3x3_R4,0.194463414900843,-0.0328275012750853,0.543401759039528,0.348938344138685,-0.227290916175928
Bicycle_1,VVC5x5_R1,0.846991348698337,0.620816527933857,1.21461530318125,0.367623954482913,-0.22617482076448
Bicycle_1,VVC5x5_R2,-0.821913926448186,-1.2532092643804,-0.454660846477232,0.367253079970954,-0.431295337932214
Bicycle_1,VVC5x5_R3,-1.26694598532711,-2.02928263421951,-0.860470353285924,0.406475632041186,-0.7623366488924
Bicycle_1,VVC5x5_R4,-1.76367578191627,-2.34874585246005,-1.33221208649928,0.43146369541699,-0.58507007054378
Bicycle_2,VVC3x3_R1,1.54817457664113,1.11303496141732,1.93561955019166,0.38744497355053,-0.43513961522381
Bicycle_2,VVC3x3_R2,1.13992614319523,0.708791254579379,1.5528870351942,0.41296089199897,-0.431134888615851
Bicycle_2,VVC3x3_R3,0.865839004830992,0.490236521871232,1.15312882757861,0.287289822747618,-0.37560248295976
Bicycle_2,VVC3x3_R4,0.205069756862834,-0.00984419872909055,0.37656899548526,0.171499238622426,-0.214913955591925
Bicycle_2,VVC5x5_R1,0.525237040893751,0.359748939165149,0.775989072634238,0.250752031740487,-0.165488101728602
Bicycle_2,VVC5x5_R2,-1.08869851134096,-1.37083653270356,-0.750323099868138,0.338375411472822,-0.2821380213626
Bicycle_2,VVC5x5_R3,-1.52279597317504,-1.7839305288694,-1.11350166496786,0.40929430820718,-0.26113455569436
Bicycle_2,VVC5x5_R4,-1.67275203790794,-2.04463263560309,-1.33949254608314,0.3332594918248,-0.37188059769515
Bikes_0,VVC3x3_R1,1.22831241713137,0.930306160136824,1.63215968458175,0.40384726745038,-0.298006256994546
Bikes_0,VVC3x3_R2,-0.212970921140443,-0.453471789594828,-0.0821212196528597,0.130849701487583,-0.240500868454385
Bikes_0,VVC3x3_R3,-0.337985871034718,-0.532811288838102,-0.0792121019754309,0.258773769059287,-0.194825417803384
Bikes_0,VVC3x3_R4,-0.89388076990421,-1.17326206286671,-0.663980102687712,0.229900667216498,-0.2793812929625
Bikes_0,VVC5x5_R1,1.06670455840804,0.826241450327967,1.31177832300232,0.24507376459428,-0.240463108080073
Bikes_0,VVC5x5_R2,0.174046478128842,-0.0709208597149032,0.399793054557538,0.225746576428696,-0.244967337843745
Bikes_0,VVC5x5_R3,-0.16860141470967,-0.368614623438762,0.0247131536310057,0.193314568340676,-0.200013208729092
Bikes_0,VVC5x5_R4,-0.855624476879213,-1.11819607494878,-0.60596472623906,0.249659750640153,-0.262571598069567
Bikes_1,VVC3x3_R1,1.0991652176275,0.926577793228128,1.47039333608778,0.37122811846028,-0.172587424399372
Bikes_1,VVC3x3_R2,0.23634909804963,-0.034361829688972,0.50264942178057,0.26630032373094,-0.270710927738602
Bikes_1,VVC3x3_R3,0.227109076462503,-0.0999998027316634,0.465297078597854,0.238188002135351,-0.327108879194166
Bikes_1,VVC3x3_R4,-0.517236961895916,-0.730028378625303,-0.276393782451697,0.240843179444219,-0.212791416729387
Bikes_1,VVC5x5_R1,1.13701823430631,0.951732710838678,1.44412744313547,0.30710920882916,-0.185285523467632
Bikes_1,VVC5x5_R2,-0.093567072817331,-0.375412775793761,0.123896050765776,0.217463123583107,-0.28184570297643
Bikes_1,VVC5x5_R3,-0.736150606576114,-1.05616905886718,-0.509387597073826,0.226763009502288,-0.320018452291066
Bikes_1,VVC5x5_R4,-1.35268698515658,-1.68214097210404,-1.12564315414573,0.22704383101085,-0.32945398694746
Bikes_2,VVC3x3_R1,0.977354897855821,0.813027272146369,1.21323058383437,0.235875685978549,-0.164327625709452
Bikes_2,VVC3x3_R2,0.422304054270089,0.246180829855533,0.696761008183017,0.274456953912928,-0.176123224414556
Bikes_2,VVC3x3_R3,-0.00265457934954955,-0.265358412543018,0.305186665256881,0.307841244606431,-0.262703833193468
Bikes_2,VVC3x3_R4,-0.313800927513133,-0.660855595625183,-0.110136507681185,0.203664419831948,-0.34705466811205
Bikes_2,VVC5x5_R1,1.21637452143364,0.846906316934713,1.57478476554887,0.35841024411523,-0.369468204498927
Bikes_2,VVC5x5_R2,-0.188557318701743,-0.464444678325753,0.0115298731551391,0.200087191856882,-0.27588735962401
Bikes_2,VVC5x5_R3,-0.933981177368629,-1.12279983612637,-0.657773524761359,0.27620765260727,-0.188818658757741
Bikes_2,VVC5x5_R4,-1.1770394706265,-1.58059566900607,-0.870140676389088,0.306898794237412,-0.40355619837957
Fountain_0,VVC3x3_R1,0.896449231590759,0.600027013641211,1.20633400003345,0.309884768442691,-0.296422217949548
Fountain_0,VVC3x3_R2,0.0848760888388074,-0.143960740372115,0.266521952254557,0.18164586341575,-0.228836829210922
Fountain_0,VVC3x3_R3,-0.35799586905081,-0.602768425402561,-0.0596900776111207,0.298305791439689,-0.244772556351751
Fountain_0,VVC3x3_R4,-0.673530424963515,-0.805717535863407,-0.494117635470744,0.179412789492771,-0.132187110899892
Fountain_0,VVC5x5_R1,0.756045756103437,0.511939115644327,1.09747535234907,0.341429596245633,-0.24410664045911
Fountain_0,VVC5x5_R2,0.20182377501519,-0.0287704680175112,0.424413908393426,0.222590133378236,-0.230594243032701
Fountain_0,VVC5x5_R3,-0.232799020335297,-0.561375618156228,0.0548402173661903,0.287639237701487,-0.328576597820931
Fountain_0,VVC5x5_R4,-0.67486953719857,-0.956820292953892,-0.4980480556323,0.17682148156627,-0.281950755755322
Fountain_1,VVC3x3_R1,1.05019757973486,0.808031098800907,1.30692555582836,0.2567279760935,-0.242166480933953
Fountain_1,VVC3x3_R2,0.429301680884064,0.114509203824007,0.743798946691514,0.31449726580745,-0.314792477060057
Fountain_1,VVC3x3_R3,-0.157307125516744,-0.323343747834672,0.0599345043895052,0.217241629906249,-0.166036622317928
Fountain_1,VVC3x3_R4,-0.428105644368909,-0.674097439075725,-0.275910435778042,0.152195208590867,-0.245991794706816
Fountain_1,VVC5x5_R1,0.755823821176259,0.526220532565153,1.07918765066973,0.323363829493471,-0.229603288611106
Fountain_1,VVC5x5_R2,-0.0276177798094875,-0.30444683031715,0.196376722237181,0.223994502046668,-0.276829050507662
Fountain_1,VVC5x5_R3,-0.528288474571219,-0.789369742818166,-0.32480946155603,0.203479013015189,-0.261081268246947
Fountain_1,VVC5x5_R4,-1.09400405752883,-1.33982864361778,-0.852994841350262,0.241009216178568,-0.24582458608895
Fountain_2,VVC3x3_R1,1.21197902365692,0.874218350323686,1.5192833188224,0.30730429516548,-0.337760673333234
Fountain_2,VVC3x3_R2,0.369198524892073,0.206890186484439,0.662281286163397,0.293082761271324,-0.162308338407634
Fountain_2,VVC3x3_R3,0.234351949549058,0.0269647096693343,0.465713108542142,0.231361158993084,-0.207387239879724
Fountain_2,VVC3x3_R4,-0.402094220900621,-0.500601149566819,-0.18726315256873,0.214831068331891,-0.098506928666198
Fountain_2,VVC5x5_R1,0.54812842657594,0.290055767669213,0.874733897294275,0.326605470718335,-0.258072658906727
Fountain_2,VVC5x5_R2,-0.547864065803569,-0.853223447843176,-0.223499652615167,0.324364413188402,-0.305359382039607
Fountain_2,VVC5x5_R3,-0.571513665573167,-0.906783619324807,-0.368139214350031,0.203374451223136,-0.33526995375164
Fountain_2,VVC5x5_R4,-0.84218597239663,-1.21556550248289,-0.613064320531785,0.229121651864845,-0.37337953008626
Sideboard_0,VVC3x3_R1,0.713226199819461,0.551646285967509,0.96649968942591,0.253273489606449,-0.161579913851952
Sideboard_0,VVC3x3_R2,-0.131004142748762,-0.382567105974228,-0.00691747161241963,0.124086671136342,-0.251562963225466
Sideboard_0,VVC3x3_R3,-0.0184629945610417,-0.174322280704363,0.083629068979652,0.102092063540694,-0.155859286143321
Sideboard_0,VVC3x3_R4,-0.553799909028034,-0.672687089024224,-0.436464907911938,0.117335001116096,-0.11888717999619
Sideboard_0,VVC5x5_R1,0.715362416911092,0.556236816515981,0.948402390860464,0.233039973949372,-0.159125600395111
Sideboard_0,VVC5x5_R2,0.063567448977485,-0.139240003856665,0.187187866837534,0.123620417860049,-0.20280745283415
Sideboard_0,VVC5x5_R3,-0.291918693145728,-0.393614436725397,-0.109511963069914,0.182406730075814,-0.101695743579669
Sideboard_0,VVC5x5_R4,-0.496970326224473,-0.578649537788046,-0.345465113646073,0.1515052125784,-0.0816792115635729
Sideboard_1,VVC3x3_R1,1.84748791394247,1.53075798586628,2.21113447612435,0.36364656218188,-0.31672992807619
Sideboard_1,VVC3x3_R2,1.14438670876332,0.797202374825594,1.46092567008316,0.31653896131984,-0.347184333937726
Sideboard_1,VVC3x3_R3,1.18175720165544,0.824274690201786,1.40900011853503,0.22724291687959,-0.357482511453654
Sideboard_1,VVC3x3_R4,0.208732723380675,0.0635985037427923,0.419662364567746,0.210929641187071,-0.145134219637883
Sideboard_1,VVC5x5_R1,0.0306135649387168,-0.208032674605443,0.185385122925734,0.154771557987017,-0.23864623954416
Sideboard_1,VVC5x5_R2,-1.32238380721267,-1.57341592675717,-1.0480787217341,0.27430508547857,-0.2510321195445
Sideboard_1,VVC5x5_R3,-1.2666172199745,-1.5967630225907,-0.902149364123203,0.364467855851297,-0.3301458026162
Sideboard_1,VVC5x5_R4,-1.82397708549345,-2.07689646689224,-1.44927003519883,0.37470705029462,-0.25291938139879
Sideboard_2,VVC3x3_R1,1.75067738911614,1.49777908467121,1.95743648406687,0.20675909495073,-0.25289830444493
Sideboard_2,VVC3x3_R2,1.10209064025043,0.796273007141812,1.39855275678564,0.29646211653521,-0.305817633108618
Sideboard_2,VVC3x3_R3,1.15887065388131,0.829108533585277,1.32219185035748,0.16332119647617,-0.329762120296033
Sideboard_2,VVC3x3_R4,0.448639009423044,0.291876659190796,0.61189727008448,0.163258260661436,-0.156762350232248
Sideboard_2,VVC5x5_R1,-0.0801073499850673,-0.218834650401909,0.159536758118912,0.239644108103979,-0.138727300416842
Sideboard_2,VVC5x5_R2,-1.26748119687605,-1.56831046681923,-0.956032059048424,0.311449137827626,-0.30082926994318
Sideboard_2,VVC5x5_R3,-1.35577960763225,-1.61098564639469,-1.014367599987,0.34141200764525,-0.25520603876244
Sideboard_2,VVC5x5_R4,-1.75690953817756,-1.89666711845379,-1.49704364062496,0.2598658975526,-0.13975758027623
